Description,Count,Sum
Time spent on Cassandra one_kb_30_false write operations,146117.0,29.692430618801154
Time spent on Cassandra ten_kb_30_false write operations,150066.0,29.691560229635797
Time spent on Cassandra twenty_kb_30_false write operations,156496.0,29.681689398246817
Time spent on Cassandra fifty_kb_30_false write operations,156023.0,29.682021435233764
Time spent on Cassandra one_hundred_kb_30_false write operations,149888.0,29.691055292380042
Time spent on Cassandra one_kb_30_true write operations,40964.0,29.880300560616888
Time spent on Cassandra ten_kb_30_true write operations,28945.0,22.42520120285917
Time spent on Cassandra twenty_kb_30_true write operations,0.0,0.0
Time spent on Cassandra fifty_kb_30_true write operations,0.0,0.0
Time spent on Cassandra one_hundred_kb_30_true write operations,0.0,0.0
